ReviewID,DateCreated,Text,ProductID,BuyerID
1,1978-01-13,Spring event eye into finally professor.,47,13
2,1973-06-29,Sea model around yes story maintain letter.,79,42
3,2009-04-27,Describe research model.,10,9
4,2015-04-23,Management others never rock common.,27,11
5,1970-01-08,Whole eat close peace turn happy college wrong.,5,74
6,1986-02-10,Out it run gun.,59,32
7,1999-05-18,To company itself social sometimes.,21,71
8,1998-09-03,Likely authority pay onto series reflect.,100,78
9,2001-06-20,Short pay young expect mean fill.,88,24
10,2008-05-19,Here hope tax event better knowledge difficult couple.,34,94
11,1980-06-28,Mean prepare close store leader.,88,11
12,1980-08-01,Pull child choose ago individual.,97,50
13,2018-11-04,Recognize none quite bed feeling from speak.,83,80
14,2006-05-20,No then else increase brother section.,55,43
15,1986-09-08,Provide brother remain public somebody.,63,91
16,1981-01-18,Party standard special young thus easy.,4,31
17,2008-08-08,Item single source coach husband local it financial.,91,86
18,1982-08-19,Book necessary difference church these matter.,38,2
19,1993-01-12,Part contain human price action center talk within.,77,13
20,1989-12-24,Security everything change avoid but own maintain.,73,9
21,2001-04-19,Director ok character civil program see brother.,23,49
22,1982-02-18,Specific magazine pretty role.,57,34
23,1979-06-07,Rich everybody month including story friend night.,43,12
24,1997-11-04,Reduce concern nation modern.,94,92
25,1973-01-27,Church class great south.,83,57
26,2012-12-30,Energy top hot develop necessary you material.,59,21
27,2023-07-23,Career during friend author table feel.,69,2
28,1970-02-19,Life remember front assume hospital test.,84,92
29,2007-08-09,Matter detail top yeah myself which interesting.,77,40
30,1973-05-31,Indeed meeting owner suddenly performance.,62,20
31,1982-02-27,Factor current center design truth election visit table.,96,39
32,1987-05-05,Individual health contain.,84,20
33,2015-07-03,Team identify well six summer call friend.,16,60
34,2016-06-15,Discover degree determine behavior fund.,25,17
35,1992-06-15,Manager land fine sound throw window behavior.,19,68
36,2017-11-18,Manage top million should can medical.,10,40
37,1980-05-03,Compare defense artist.,31,97
38,1976-08-20,Across remain think whether must improve.,91,54
39,1974-05-31,Research against tough seat only.,31,35
40,2010-11-09,Herself manager civil century about meeting.,67,94
41,1989-07-09,Nice bill two price.,70,64
42,2007-08-28,Evening control east training woman.,44,33
43,2016-07-03,Board finally goal note.,45,19
44,1979-10-18,Do accept main discover manage also science.,82,65
45,2025-01-11,Left official trade common talk recently.,6,2
46,1972-12-06,Decision prevent detail training front laugh building.,10,65
47,1994-05-13,Artist task carry different move.,62,11
48,2000-04-05,House case attack might true little.,79,34
49,1984-12-05,Company step wife hand book.,89,42
50,1993-11-06,Difficult management technology five.,4,35
51,1983-06-13,Side special something brother though common.,70,23
52,1991-09-24,Marriage memory drop purpose.,10,6
53,2019-07-25,Kind outside foot.,46,93
54,1972-07-07,Place customer watch card.,18,17
55,2018-01-07,Everyone prove life here position parent out.,40,84
56,2004-02-03,Threat both short entire.,82,80
57,2002-10-04,Reason note model government remain site able.,32,44
58,2008-09-02,If ball pick per commercial memory.,41,54
59,2001-04-15,Paper without sign who.,17,29
60,1993-03-05,Price major admit present us system poor.,53,16
61,2006-04-08,Risk across until us.,56,2
62,2000-05-09,Nothing morning commercial.,23,55
63,1978-09-24,Region too different full bad.,55,23
64,1971-04-26,Morning voice according set be.,80,71
65,2023-05-18,Sister store civil Republican however physical.,24,42
66,1997-10-27,Responsibility region relate consider voice fear science civil.,68,8
67,2007-12-21,Look stop property.,76,31
68,1979-12-18,Both power learn surface tree Congress.,86,9
69,1987-05-29,From who pressure task.,23,23
70,1986-06-22,Tough blue game hand.,29,33
71,1978-12-20,Yes clear play newspaper much each especially want.,62,5
72,2015-11-22,Can father throw goal job.,63,51
73,1986-04-23,Coach along pull sometimes population decide concern.,31,28
74,1973-06-10,Across race center enough economy.,39,7
75,1976-05-25,Think since like score shoulder west own.,73,32
76,2000-09-24,Fish why thousand maybe.,95,51
77,2015-12-23,Officer western policy road.,9,16
78,1974-03-18,Daughter lawyer treat order young garden though.,90,21
79,1980-10-31,Yes team which consider word.,75,51
80,1986-07-09,Air now loss increase all because.,75,95
81,2019-12-07,Recognize benefit other every treatment.,76,9
82,1977-06-18,Change husband owner minute.,69,94
83,1977-06-15,Site source inside act social.,10,8
84,1985-01-31,Reveal possible accept blue me describe American something.,75,63
85,2012-03-06,Religious dark some where analysis drive must.,19,36
86,1970-12-19,Live us check.,100,37
87,2010-12-28,Factor crime start scientist.,74,62
88,1978-11-24,East century put.,20,33
89,1995-11-05,Significant ground easy ok yeah up.,84,37
90,2009-12-17,Me establish now interest.,74,9
91,2013-01-24,Wide general among study opportunity represent guy.,73,50
92,2018-07-17,Bank across year attention.,23,65
93,2009-12-22,Use concern as you exactly drive.,34,98
94,2014-03-21,Dream team close traditional by news.,70,74
95,1973-12-20,Result should increase example before.,47,68
96,2001-03-10,Which person rock determine hand agent.,83,91
97,2011-07-26,Thing discover above.,75,23
98,2012-08-12,Give upon pick want.,16,4
99,2014-03-14,Put series investment lead support article control me.,61,82
100,1990-06-06,Kid I room everyone what.,62,2
