zipcode,city,state
37649,Fisherbury,VT
51271,East Charles,SD
09248,North Jayfurt,NC
07175,East Barryside,NJ
99125,Port James,MO
83142,West Amystad,NH
87489,Lisaport,ND
65874,East Bryan,NH
39305,Port Bethstad,OH
38313,Port Kenneth,VT
99606,Parsonsmouth,AL
90909,Lake Martin,ID
61711,Ayalaview,MI
97343,North Timothychester,PA
73771,Katherineton,DC
93645,Peterland,KS
41428,Elizabethtown,MS
31415,Cassiebury,AK
57883,Amandafurt,UT
48674,Kathrynshire,SD
68243,Washingtonfort,FL
23521,Port Emilymouth,TN
57161,New Hollyside,MD
71353,South Timothy,DE
19627,Andersonton,ME
08851,Lorichester,CT
47408,Port Mark,AL
54508,Josephfort,DE
13667,Port Leslie,MT
76955,Burnsburgh,GA
34811,Taylorchester,VA
70302,East Sheilaton,OR
40393,East Michaelburgh,OR
43578,Soniatown,AR
12031,Kevinshire,TN
07548,Claytontown,NE
91385,Port Graceview,NY
31144,Lake Cindytown,CT
05374,Holmesburgh,OR
87628,Richardburgh,NY
87978,South Johnberg,KS
40180,Ambershire,IL
67443,Davidbury,NJ
64824,Wilsonville,WI
14342,Jacobtown,OH
32976,Holmesborough,NY
02833,Nicholefort,ME
18838,Joneshaven,ND
82526,Lake Alan,ID
61198,West Andrew,IA
